k,percent_agreed,n_disagreed,n_total,n_categories
1,100%,0,147,147
1,100%,0,147,147
0.65,97%,5,147,2
0.72,98%,3,147,2
0.82,96%,5,141,2
0.73,74%,37,141,141
0.95,96%,6,141,7
0.82,83%,24,141,112
0.68,84%,23,141,10
0.77,89%,16,141,3
0.95,98%,2,91,3
0.97,98%,2,93,13
0.92,99%,1,91,3
0.89,94%,5,84,13
0.84,97%,3,91,3
1,100%,0,79,4
0.21,92%,7,91,3
0.87,88%,10,81,70
0.82,87%,12,93,10
0.8,93%,6,91,3
0.95,95%,3,64,35
0.66,83%,16,93,7
0.22,69%,29,93,4
0.46,59%,38,93,15
0.38,81%,18,93,2
0.48,96%,4,93,2
0.73,89%,10,93,2
0.39,97%,3,93,2
0.55,78%,20,93,2
0.21,88%,11,93,2
-0.02,96%,4,93,2
0.23,65%,33,93,4
0.51,67%,31,93,6
0.46,66%,32,93,5
0.24,70%,28,93,4
